,country,pop,gdpPercap,lifeExp,emissions_percap,emissions_total,region
0,Argentina,40301927.0,12779.37964,75.32,3.819,149476.04,south
1,Bolivia,9119152.0,3822.1370840000004,65.554,0.984,8975.809,south
2,Brazil,190010647.0,9065.800825,72.39,1.667,311623.799,south
3,Canada,33390141.0,36319.23501,80.65300000000002,16.762,540431.495,north
4,Chile,16284741.0,13171.63885,78.553,3.343,54434.634,south
5,Colombia,44227550.0,7006.580419,72.889,1.238,53585.3,south
6,Costa Rica,4133884.0,9645.06142,78.782,1.286,5463.059,south
7,Cuba,11416987.0,8948.102923,78.273,2.22,25051.431,south
8,Dominican Republic,9319622.0,6025.374752,72.235,1.897,17522.139,south
9,Ecuador,13755680.0,6873.262325999999,74.994,1.742,23926.725,south
10,El Salvador,6939688.0,5728.353514,71.878,1.037,6252.815,south
11,Guatemala,12572928.0,5186.050003,70.259,0.811,10621.597,south
12,Haiti,8502814.0,1201.637154,60.916,0.214,1980.992,south
13,Honduras,7483763.0,3548.330846,70.198,0.976,7192.737,south
14,Jamaica,2780132.0,7320.880262000001,72.567,3.746,10281.648,south
15,Mexico,108700891.0,11977.57496,76.195,3.854,412385.135,north
16,Nicaragua,5675356.0,2749.320965,72.899,0.75,4032.083,south
17,Panama,3242173.0,9809.185636,75.537,2.035,6776.118,south
18,Paraguay,6667147.0,4172.838464,71.752,0.599,3472.665,south
19,Peru,28674757.0,7408.905561,71.421,1.037,28632.888,south
20,Trinidad and Tobago,1056608.0,18008.50924,69.819,13.243,17175.823,south
21,United States,305082438.0,42646.38070185649,78.24851304439883,19.268,5703220.175,north
22,Uruguay,3447496.0,10611.46299,76.384,1.549,5151.871,south
23,Venezuela,26084662.0,11415.80569,73.747,5.141,137701.548,south
